Sample in Buffer,Sample in Window,TRIGGER,b[7:0],a,c[7:0]
318,318,0,ab,0,0f
319,319,0,ac,0,0e
320,320,0,ad,0,0c
321,321,0,ae,0,0b
322,322,0,af,0,0a
323,323,0,b0,0,08
324,324,0,b1,0,07
325,325,0,b2,0,06
326,326,0,b3,0,05
327,327,0,b4,0,04
328,328,0,b5,0,04
329,329,0,b6,0,03
330,330,0,b7,0,02
331,331,0,b8,0,02
332,332,0,b9,0,01
333,333,0,ba,0,01
334,334,0,bb,0,00
335,335,0,bc,0,00
336,336,0,bd,0,00
337,337,0,be,0,00
338,338,0,bf,0,00
339,339,0,c0,0,00
340,340,0,c1,0,00
341,341,0,c2,0,00
342,342,0,c3,0,00
343,343,0,c4,0,00
344,344,0,c5,0,01
345,345,0,c6,0,01
346,346,0,c7,0,02
347,347,0,c8,0,02
348,348,0,c9,0,03
349,349,0,ca,0,04
350,350,0,cb,0,05
351,351,0,cc,0,06
352,352,0,cd,0,07
353,353,0,ce,0,08
354,354,0,cf,0,09
355,355,0,d0,0,0a
356,356,0,d1,0,0c
357,357,0,d2,0,0d
358,358,0,d3,0,0e
359,359,0,d4,0,10
360,360,0,d5,0,11
361,361,0,d6,0,13
362,362,0,d7,0,15
363,363,0,d8,0,17
364,364,0,d9,0,18
365,365,0,da,0,1a
366,366,0,db,0,1c
367,367,0,dc,0,1e
368,368,0,dd,0,20
369,369,0,de,0,23
370,370,0,df,0,25
371,371,0,e0,0,27
372,372,0,e1,0,29
373,373,0,e2,0,2c
374,374,0,e3,0,2e
375,375,0,e4,0,30
376,376,0,e5,0,33
377,377,0,e6,0,36
378,378,0,e7,0,38
379,379,0,e8,0,3b
380,380,0,e9,0,3d
381,381,0,ea,0,40
382,382,0,eb,0,43
383,383,0,ec,0,46
384,384,0,ed,0,49
385,385,0,ee,0,4b
386,386,0,ef,0,4e
387,387,0,f0,0,51
388,388,0,f1,0,54
389,389,0,f2,0,57
390,390,0,f3,0,5a
391,391,0,f4,0,5d
392,392,0,f5,0,60
